"","year","game_ID","home_numberGame","home_ID_team","home_isB2B","home_isB2BFirst","home_isB2BSecond","home_name","home_countDaysRest","home_countDaysNextGame","home_outcomeGame","home_isWin","home_fieldgoal_made","home_fieldgoal_attempts","home_fieldgoal_percent","home_fieldgoal3_made","home_fieldgoal3_attempts","home_fieldgoal3_percent","home_freethrow_percent","home_fieldgoal2_made","home_fieldgoal2_attempts","home_pctFG2","minutes","home_freethrow_made","home_freethrow_attempts","home_off_reb","home_def_reb","home_total_reb","home_assists","home_steals","home_blocks","home_turnovers","home_personalfouls","home_points","home_plusminus","home_ind_Win","home_ind_SecondB2B","home_ind_overtime","home_offensive_rating","home_defensive_rating","home_RAPTOR_offensive","home_RAPTOR_defensive","home_RAPTOR_net","away_numberGame","away_ID_team","away_isB2B","away_isB2BFirst","away_isB2BSecond","away_name","away_countDaysRest","away_countDaysNextGame","away_outcomeGame","away_isWin","away_fieldgoal_made","away_fieldgoal_attempts","away_fieldgoal_percent","away_fieldgoal3_made","away_fieldgoal3_attempts","away_fieldgoal3_percent","away_freethrow_percent","away_fieldgoal2_made","away_fieldgoal2_attempts","away_pctFG2","away_freethrow_made","away_freethrow_attempts","away_off_reb","away_def_reb","away_total_reb","away_assists","away_steals","away_blocks","away_turnovers","away_personalfouls","away_points","away_plusminus","away_ind_Win","away_ind_SecondB2B","away_ind_overtime","away_offensive_rating","away_defensive_rating","away_RAPTOR_offensive","away_RAPTOR_defensive","away_RAPTOR_net"
"1",2018,21700002,1,1610612744,FALSE,TRUE,FALSE,"GSW",120,2,"L",FALSE,43,80,0.538,16,30,0.533333333333333,0.905,27,50,0.54,240,19,21,6,35,41,34,5,9,17,25,121,-1,0,0,0,113.6,107.6,5,1,6,1,1610612745,TRUE,FALSE,FALSE,"HOU",120,0,"W",TRUE,47,97,0.485,15,41,0.365853658536585,0.684,32,56,0.571428571428571,13,19,10,33,43,28,9,5,13,16,122,1,1,0,0,114.7,106.1,6.1,2.5,8.7
"2",2018,21700001,1,1610612739,FALSE,TRUE,FALSE,"CLE",120,2,"W",TRUE,38,83,0.458,5,22,0.227272727272727,0.84,33,61,0.540983606557377,240,21,25,9,41,50,19,3,4,17,25,102,3,1,0,0,112.9,111.9,4.2,-3.3,1,1,1610612738,TRUE,FALSE,FALSE,"BOS",120,0,"L",FALSE,36,88,0.409,8,32,0.25,0.76,28,56,0.5,19,25,9,37,46,24,11,4,12,24,99,-3,0,0,0,107.6,103.9,-1,4.7,3.7
"3",2018,21700010,1,1610612762,FALSE,TRUE,FALSE,"UTA",120,1,"W",TRUE,41,81,0.506,9,24,0.375,0.938,32,57,0.56140350877193,240,15,16,6,30,36,28,9,5,15,18,106,10,1,0,0,108.4,103.9,-0.2,4.7,4.5,1,1610612743,FALSE,FALSE,FALSE,"DEN",120,2,"L",FALSE,36,77,0.468,13,27,0.481481481481481,0.917,23,50,0.46,11,12,7,31,38,21,4,3,21,18,96,-10,0,0,0,112.5,111,3.9,-2.3,1.5
"4",2018,21700011,1,1610612759,FALSE,FALSE,FALSE,"SAS",120,2,"W",TRUE,41,89,0.461,8,21,0.380952380952381,0.895,33,68,0.485294117647059,240,17,19,12,38,50,22,8,11,11,18,107,8,1,0,0,107.9,104.8,-0.7,3.8,3,1,1610612750,FALSE,FALSE,FALSE,"MIN",120,1,"L",FALSE,37,85,0.435,8,19,0.421052631578947,0.739,29,66,0.439393939393939,17,23,11,31,42,23,7,4,13,16,99,-8,0,0,0,113.4,111.1,4.8,-2.4,2.3
"5",2018,21700007,2,1610612738,TRUE,FALSE,TRUE,"BOS",0,1,"L",FALSE,39,91,0.429,11,28,0.392857142857143,0.524,28,63,0.444444444444444,240,11,21,11,32,43,23,12,2,15,27,100,-8,0,1,0,107.6,103.9,-1,4.7,3.7,1,1610612749,FALSE,TRUE,FALSE,"MIL",120,1,"W",TRUE,38,76,0.5,7,21,0.333333333333333,0.833,31,55,0.563636363636364,25,30,6,39,45,19,6,4,15,22,108,8,1,0,0,109.8,110.1,1.2,-1.5,-0.3
"6",2018,21700013,1,1610612758,FALSE,TRUE,FALSE,"SAC",120,1,"L",FALSE,42,88,0.477,8,23,0.347826086956522,0.8,34,65,0.523076923076923,240,8,10,9,33,42,19,5,4,18,20,100,-5,0,0,0,103.7,111.1,-4.9,-2.5,-7.3,2,1610612745,TRUE,FALSE,TRUE,"HOU",0,2,"W",TRUE,33,83,0.398,12,45,0.266666666666667,0.931,21,38,0.552631578947368,27,29,12,32,44,19,7,3,16,14,105,5,1,1,0,114.7,106.1,6.1,2.5,8.7
"7",2018,21700006,1,1610612764,FALSE,FALSE,FALSE,"WAS",120,1,"W",TRUE,42,97,0.433,6,22,0.272727272727273,0.789,36,75,0.48,240,30,38,16,36,52,21,8,10,10,20,120,5,1,0,0,109.3,108.7,0.7,-0.1,0.6,1,1610612755,FALSE,TRUE,FALSE,"PHI",120,1,"L",FALSE,43,93,0.462,15,35,0.428571428571429,0.737,28,58,0.482758620689655,14,19,11,37,48,25,6,6,17,28,115,-5,0,0,0,109.5,105,0.9,3.6,4.5
"8",2018,21700005,1,1610612753,FALSE,TRUE,FALSE,"ORL",120,1,"W",TRUE,43,90,0.478,8,21,0.380952380952381,0.759,35,69,0.507246376811594,240,22,29,11,39,50,22,8,9,15,18,116,7,1,0,0,105.2,110.1,-3.4,-1.5,-4.9,1,1610612748,FALSE,FALSE,FALSE,"MIA",120,2,"L",FALSE,44,101,0.436,8,30,0.266666666666667,0.765,36,71,0.507042253521127,13,17,11,33,44,27,6,4,13,20,109,-7,0,0,0,106.8,106.3,-1.8,2.3,0.5
"9",2018,21700004,1,1610612754,FALSE,TRUE,FALSE,"IND",120,1,"W",TRUE,53,102,0.52,9,34,0.264705882352941,0.781,44,68,0.647058823529412,240,25,32,14,33,47,29,12,9,14,25,140,9,1,0,0,109.5,108.1,0.9,0.5,1.4,1,1610612751,FALSE,FALSE,FALSE,"BKN",120,1,"L",FALSE,45,94,0.479,12,30,0.4,0.906,33,64,0.515625,29,32,11,32,43,22,7,2,20,25,131,-9,0,0,0,106.9,110.6,-1.7,-2,-3.8
"10",2018,21700003,1,1610612765,FALSE,TRUE,FALSE,"DET",120,1,"W",TRUE,41,96,0.427,9,26,0.346153846153846,0.917,32,70,0.457142857142857,240,11,12,9,38,47,24,14,3,9,21,102,12,1,0,0,107.2,107.3,-1.5,1.3,-0.2,1,1610612766,FALSE,FALSE,FALSE,"CHA",120,1,"L",FALSE,29,73,0.397,9,30,0.3,0.793,20,43,0.465116279069767,23,29,3,44,47,16,4,3,17,15,90,-12,0,0,0,109.4,109.1,0.8,-0.5,0.3
"11",2018,21700008,1,1610612763,FALSE,FALSE,FALSE,"MEM",120,2,"W",TRUE,39,92,0.424,9,29,0.310344827586207,0.571,30,63,0.476190476190476,240,16,28,15,30,45,19,9,8,12,29,103,12,1,0,0,104.5,111,-4.1,-2.4,-6.5,1,1610612740,FALSE,FALSE,FALSE,"NOP",120,1,"L",FALSE,30,79,0.38,7,25,0.28,0.828,23,54,0.425925925925926,24,29,16,35,51,15,4,12,18,31,91,-12,0,0,0,109.6,108.3,1,0.3,1.3
"12",2018,21700012,1,1610612756,FALSE,TRUE,FALSE,"PHX",120,1,"L",FALSE,28,89,0.315,7,27,0.259259259259259,0.722,21,62,0.338709677419355,240,13,18,10,23,33,10,9,8,16,22,76,-48,0,0,0,103.5,112.8,-5.1,-4.2,-9.3,1,1610612757,FALSE,TRUE,FALSE,"POR",120,1,"W",TRUE,44,90,0.489,14,24,0.583333333333333,0.786,30,66,0.454545454545455,22,28,15,42,57,22,8,7,18,20,124,48,1,0,0,109.1,106.4,0.4,2.2,2.7
"13",2018,21700009,1,1610612742,FALSE,TRUE,FALSE,"DAL",120,1,"L",FALSE,38,86,0.442,17,45,0.377777777777778,0.857,21,41,0.51219512195122,240,18,21,9,32,41,27,5,4,16,19,111,-6,0,0,0,106.3,109.5,-2.3,-0.9,-3.2,1,1610612737,FALSE,FALSE,FALSE,"ATL",120,1,"W",TRUE,48,94,0.511,9,18,0.5,0.8,39,76,0.513157894736842,12,15,14,36,50,20,11,6,13,18,117,6,1,0,0,105,110.6,-3.6,-2,-5.5
"14",2018,21700016,1,1610612747,TRUE,FALSE,FALSE,"LAL",120,0,"L",FALSE,37,91,0.407,4,16,0.25,0.609,33,75,0.44,240,14,23,12,40,52,21,8,7,20,15,92,-16,0,0,0,106.5,108,-2.1,0.6,-1.5,1,1610612746,FALSE,FALSE,FALSE,"LAC",120,1,"W",TRUE,42,107,0.393,12,33,0.363636363636364,0.923,30,74,0.405405405405405,12,13,17,42,59,23,12,3,15,20,108,16,1,0,0,110.3,110.2,1.7,-1.6,0
"15",2018,21700015,1,1610612760,FALSE,TRUE,FALSE,"OKC",120,1,"W",TRUE,39,90,0.433,11,38,0.289473684210526,0.727,28,52,0.538461538461538,240,16,22,13,28,41,26,14,7,20,22,105,21,1,0,0,110.7,107.2,2.1,1.4,3.5,1,1610612752,FALSE,FALSE,FALSE,"NYK",120,1,"L",FALSE,32,79,0.405,7,24,0.291666666666667,0.684,25,55,0.454545454545455,13,19,11,30,41,19,8,4,26,23,84,-21,0,0,0,107.1,110.7,-1.6,-2.1,-3.6
"16",2018,21700014,1,1610612761,FALSE,FALSE,FALSE,"TOR",120,1,"W",TRUE,39,83,0.47,13,29,0.448275862068966,0.929,26,54,0.481481481481481,240,26,28,13,36,49,26,10,4,17,19,117,17,1,0,0,113.8,105.9,5.2,2.8,7.9,1,1610612741,FALSE,FALSE,FALSE,"CHI",120,1,"L",FALSE,37,89,0.416,10,32,0.3125,0.889,27,57,0.473684210526316,16,18,10,29,39,22,7,2,19,23,100,-17,0,0,0,103.8,110.9,-4.9,-2.2,-7.1
