"","year","ID_game","numberGame","ID_team","isB2B","isB2BFirst","isB2BSecond","homeAway","name","countDaysRest","countDaysNextGame","outcomeGame","isWin","fieldgoal_made","fieldgoal_attempts","fieldgoal_percent","fieldgoal3_made","fieldgoal3_attempts","fieldgoal3_percent","freethrow_percent","fieldgoal2_made","fieldgoal2_attempts","pctFG2","minutes","freethrow_made","freethrow_attempts","off_reb","def_reb","total_reb","assists","steals","blocks","turnovers","personalfouls","points","plusminus","ind_Win","ind_SecondB2B","ind_overtime","offensive_rating","defensive_rating","RAPTOR_offensive","RAPTOR_defensive","RAPTOR_net"
"1",2018,21700002,1,1610612744,FALSE,TRUE,FALSE,"H","GSW",120,2,"L",FALSE,43,80,0.538,16,30,0.533333333333333,0.905,27,50,0.54,240,19,21,6,35,41,34,5,9,17,25,121,-1,0,0,0,113.6,107.6,5,1,6
"2",2018,21700002,1,1610612745,TRUE,FALSE,FALSE,"A","HOU",120,0,"W",TRUE,47,97,0.485,15,41,0.365853658536585,0.684,32,56,0.571428571428571,240,13,19,10,33,43,28,9,5,13,16,122,1,1,0,0,114.7,106.1,6.1,2.5,8.7
"3",2018,21700001,1,1610612739,FALSE,TRUE,FALSE,"H","CLE",120,2,"W",TRUE,38,83,0.458,5,22,0.227272727272727,0.84,33,61,0.540983606557377,240,21,25,9,41,50,19,3,4,17,25,102,3,1,0,0,112.9,111.9,4.2,-3.3,1
"4",2018,21700001,1,1610612738,TRUE,FALSE,FALSE,"A","BOS",120,0,"L",FALSE,36,88,0.409,8,32,0.25,0.76,28,56,0.5,240,19,25,9,37,46,24,11,4,12,24,99,-3,0,0,0,107.6,103.9,-1,4.7,3.7
"5",2018,21700010,1,1610612743,FALSE,FALSE,FALSE,"A","DEN",120,2,"L",FALSE,36,77,0.468,13,27,0.481481481481481,0.917,23,50,0.46,240,11,12,7,31,38,21,4,3,21,18,96,-10,0,0,0,112.5,111,3.9,-2.3,1.5
"6",2018,21700010,1,1610612762,FALSE,TRUE,FALSE,"H","UTA",120,1,"W",TRUE,41,81,0.506,9,24,0.375,0.938,32,57,0.56140350877193,240,15,16,6,30,36,28,9,5,15,18,106,10,1,0,0,108.4,103.9,-0.2,4.7,4.5
"7",2018,21700011,1,1610612750,FALSE,FALSE,FALSE,"A","MIN",120,1,"L",FALSE,37,85,0.435,8,19,0.421052631578947,0.739,29,66,0.439393939393939,240,17,23,11,31,42,23,7,4,13,16,99,-8,0,0,0,113.4,111.1,4.8,-2.4,2.3
"8",2018,21700011,1,1610612759,FALSE,FALSE,FALSE,"H","SAS",120,2,"W",TRUE,41,89,0.461,8,21,0.380952380952381,0.895,33,68,0.485294117647059,240,17,19,12,38,50,22,8,11,11,18,107,8,1,0,0,107.9,104.8,-0.7,3.8,3
"9",2018,21700007,2,1610612738,TRUE,FALSE,TRUE,"H","BOS",0,1,"L",FALSE,39,91,0.429,11,28,0.392857142857143,0.524,28,63,0.444444444444444,240,11,21,11,32,43,23,12,2,15,27,100,-8,0,1,0,107.6,103.9,-1,4.7,3.7
"10",2018,21700009,1,1610612737,FALSE,FALSE,FALSE,"A","ATL",120,1,"W",TRUE,48,94,0.511,9,18,0.5,0.8,39,76,0.513157894736842,240,12,15,14,36,50,20,11,6,13,18,117,6,1,0,0,105,110.6,-3.6,-2,-5.5
"11",2018,21700013,2,1610612745,TRUE,FALSE,TRUE,"A","HOU",0,2,"W",TRUE,33,83,0.398,12,45,0.266666666666667,0.931,21,38,0.552631578947368,240,27,29,12,32,44,19,7,3,16,14,105,5,1,1,0,114.7,106.1,6.1,2.5,8.7
"12",2018,21700013,1,1610612758,FALSE,TRUE,FALSE,"H","SAC",120,1,"L",FALSE,42,88,0.477,8,23,0.347826086956522,0.8,34,65,0.523076923076923,240,8,10,9,33,42,19,5,4,18,20,100,-5,0,0,0,103.7,111.1,-4.9,-2.5,-7.3
"13",2018,21700006,1,1610612764,FALSE,FALSE,FALSE,"H","WAS",120,1,"W",TRUE,42,97,0.433,6,22,0.272727272727273,0.789,36,75,0.48,240,30,38,16,36,52,21,8,10,10,20,120,5,1,0,0,109.3,108.7,0.7,-0.1,0.6
